subject,URL,videoId
('reactjs', 'https://www.youtube.com/embed/sBws8MSXN7A', 'sBws8MSXN7A'),
('reactjs', 'https://www.youtube.com/embed/DLX62G4lc44', 'DLX62G4lc44'),
('reactjs', 'https://www.youtube.com/embed/Ke90Tje7VS0', 'Ke90Tje7VS0'),
('reactjs', 'https://www.youtube.com/embed/MRIMT0xPXFI', 'MRIMT0xPXFI'),
('reactjs', 'https://www.youtube.com/embed/4UZrsTqkcW4', '4UZrsTqkcW4'),
('reactjs', 'https://www.youtube.com/embed/hQAHSlTtcmY', 'hQAHSlTtcmY'),
('reactjs', 'https://www.youtube.com/embed/-cMqr9HpZ-Y', '-cMqr9HpZ-Y'),
('reactjs', 'https://www.youtube.com/embed/zIY87vU33aA', 'zIY87vU33aA'),
('reactjs', 'https://www.youtube.com/embed/I2UBjN5ER4s', 'I2UBjN5ER4s'),
('reactjs', 'https://www.youtube.com/embed/BJvGeOktipE', 'BJvGeOktipE'),
('reactjs', 'https://www.youtube.com/embed/xJZa2_aldDs', 'xJZa2_aldDs'),
('reactjs', 'https://www.youtube.com/embed/1_IYL9ZMR_Y', '1_IYL9ZMR_Y'),
('reactjs', 'https://www.youtube.com/embed/N3AkSS5hXMA', 'N3AkSS5hXMA'),
('reactjs', 'https://www.youtube.com/embed/mLMfx8BEt8g', 'mLMfx8BEt8g'),
('reactjs', 'https://www.youtube.com/embed/JPT3bFIwJYA', 'JPT3bFIwJYA'),
('reactjs', 'https://www.youtube.com/embed/I6tbhNUU96Y', 'I6tbhNUU96Y'),
('reactjs', 'https://www.youtube.com/embed/XQxitgyZ_S4', 'XQxitgyZ_S4'),
('reactjs', 'https://www.youtube.com/embed/nvHeB32ICDM', 'nvHeB32ICDM'),
('reactjs', 'https://www.youtube.com/embed/CI2kX2EFhWc', 'CI2kX2EFhWc'),
('reactjs', 'https://www.youtube.com/embed/XtMThy8QKqU', 'XtMThy8QKqU'),
('reactjs', 'https://www.youtube.com/embed/sfrYPRqjNpg', 'sfrYPRqjNpg'),
('reactjs', 'https://www.youtube.com/embed/RDV3Z1KCBvo', 'RDV3Z1KCBvo'),
('reactjs', 'https://www.youtube.com/embed/MOms7uWpmT0', 'MOms7uWpmT0'),
('reactjs', 'https://www.youtube.com/embed/vAvCcjSAGDY', 'vAvCcjSAGDY'),
